"nut","Plot","type","val","extract"
"Calcium",70,"gm2_2017_0.20cm",157.9,"aa"
"Calcium",74,"gm2_2017_0.20cm",130.95,"aa"
"Calcium",75,"gm2_2017_0.20cm",107.34,"aa"
"Calcium",81,"gm2_2017_0.20cm",102.72,"aa"
"Calcium",82,"gm2_2017_0.20cm",136.61,"aa"
"Calcium",83,"gm2_2017_0.20cm",173.47,"aa"
"Calcium",87,"gm2_2017_0.20cm",116.5,"aa"
"Calcium",89,"gm2_2017_0.20cm",166.83,"aa"
"Calcium",92,"gm2_2017_0.20cm",143.18,"aa"
"Calcium",93,"gm2_2017_0.20cm",176.37,"aa"
"Calcium",94,"gm2_2017_0.20cm",116.71,"aa"
"Calcium",98,"gm2_2017_0.20cm",136.43,"aa"
"Calcium",104,"gm2_2017_0.20cm",170.88,"aa"
"Calcium",107,"gm2_2017_0.20cm",120.87,"aa"
"Calcium",108,"gm2_2017_0.20cm",161.71,"aa"
"Calcium",109,"gm2_2017_0.20cm",103.7,"aa"
"Calcium",110,"gm2_2017_0.20cm",128.54,"aa"
"Calcium",111,"gm2_2017_0.20cm",135.88,"aa"
"Calcium",115,"gm2_2017_0.20cm",117.04,"aa"
"Calcium",117,"gm2_2017_0.20cm",138.48,"aa"
"Calcium",118,"gm2_2017_0.20cm",109.28,"aa"
"Calcium",125,"gm2_2017_0.20cm",148.11,"aa"
"Calcium",129,"gm2_2017_0.20cm",140.12,"aa"
"Calcium",130,"gm2_2017_0.20cm",142.77,"aa"
"Calcium",133,"gm2_2017_0.20cm",113.54,"aa"
"Calcium",135,"gm2_2017_0.20cm",103.66,"aa"
"Calcium",136,"gm2_2017_0.20cm",168.73,"aa"
"Calcium",137,"gm2_2017_0.20cm",137.45,"aa"
"Calcium",138,"gm2_2017_0.20cm",146.37,"aa"
"Calcium",139,"gm2_2017_0.20cm",138.12,"aa"
"Calcium",142,"gm2_2017_0.20cm",137.16,"aa"
"Calcium",146,"gm2_2017_0.20cm",118.07,"aa"
"Calcium",149,"gm2_2017_0.20cm",144.06,"aa"
"Calcium",156,"gm2_2017_0.20cm",132.06,"aa"
"Calcium",157,"gm2_2017_0.20cm",116.42,"aa"
"Calcium",160,"gm2_2017_0.20cm",136.29,"aa"
"Calcium",163,"gm2_2017_0.20cm",129.1,"aa"
"Calcium",164,"gm2_2017_0.20cm",162.15,"aa"
"Calcium",165,"gm2_2017_0.20cm",138.61,"aa"
"Calcium",167,"gm2_2017_0.20cm",129.05,"aa"
"Calcium",168,"gm2_2017_0.20cm",135.32,"aa"
"Calcium",169,"gm2_2017_0.20cm",170.3,"aa"
"Calcium",170,"gm2_2017_0.20cm",137.76,"aa"
"Calcium",171,"gm2_2017_0.20cm",174.23,"aa"
"Calcium",174,"gm2_2017_0.20cm",174.64,"aa"
"Calcium",175,"gm2_2017_0.20cm",185.39,"aa"
"Calcium",176,"gm2_2017_0.20cm",136.79,"aa"
"Calcium",177,"gm2_2017_0.20cm",133.39,"aa"
"Calcium",178,"gm2_2017_0.20cm",149.53,"aa"
"Calcium",185,"gm2_2017_0.20cm",102.84,"aa"
