"Plot","NumSp","nut","type","val.g","mono","diff"
67,8,"Calcium","Root.0.30cm",14.73,4.1471875,255.180468691131
68,16,"Nitrogen","Abv",2.92,1.2978125,124.993980255237
68,16,"Potassium","Abv",4.5,0.8584375,424.208227156898
68,16,"Magnesium","Abv",0.77,0.3021875,154.808686659772
68,16,"Calcium","Abv",3.28,1.108125,195.99548787366
68,16,"Nitrogen","Root.0.30cm",7.32,4.388125,66.8138441817405
68,16,"Potassium","Root.0.30cm",3.98,1.6984375,134.333026678933
68,16,"Magnesium","Root.0.30cm",1.11,0.9275,19.6765498652291
68,16,"Calcium","Root.0.30cm",6.76,4.1471875,63.0020345113405
69,1,"Nitrogen","Abv",0.81,1.2978125,-37.5872862990609
69,1,"Potassium","Abv",0.53,0.8584375,-38.259919912632
69,1,"Magnesium","Abv",0.12,0.3021875,-60.2895553257497
69,1,"Calcium","Abv",0.28,1.108125,-74.73209249859
69,1,"Nitrogen","Root.0.30cm",3.91,4.388125,-10.8958837772397
69,1,"Potassium","Root.0.30cm",0.78,1.6984375,-54.0754369825207
69,1,"Magnesium","Root.0.30cm",0.55,0.9275,-40.7008086253369
69,1,"Calcium","Root.0.30cm",2.39,4.1471875,-42.3705824730616
70,4,"Nitrogen","Abv",2.36,1.2978125,81.8444497953287
70,4,"Potassium","Abv",2.39,0.8584375,178.412813978886
70,4,"Magnesium","Abv",0.46,0.3021875,52.2233712512927
70,4,"Calcium","Abv",2.03,1.108125,83.1923293852228
70,4,"Nitrogen","Root.0.30cm",5.06,4.388125,15.3112092294545
70,4,"Potassium","Root.0.30cm",4.42,1.6984375,160.239190432383
70,4,"Magnesium","Root.0.30cm",1.14,0.9275,22.911051212938
70,4,"Calcium","Root.0.30cm",6.57,4.1471875,58.4206163815839
74,8,"Nitrogen","Abv",2.76,1.2978125,112.665542980978
74,8,"Potassium","Abv",2.05,0.8584375,138.805970149254
74,8,"Magnesium","Abv",0.56,0.3021875,85.3154084798346
74,8,"Calcium","Abv",2,1.108125,80.4850535815003
74,8,"Nitrogen","Root.0.30cm",7.24,4.388125,64.9907420595357
74,8,"Potassium","Root.0.30cm",3.12,1.6984375,83.6982520699172
74,8,"Magnesium","Root.0.30cm",1.51,0.9275,62.8032345013477
74,8,"Calcium","Root.0.30cm",15.59,4.1471875,275.917413910029
75,2,"Nitrogen","Abv",1.1,1.2978125,-15.2419937394654
75,2,"Potassium","Abv",0.68,0.8584375,-20.7863123407353
75,2,"Magnesium","Abv",0.33,0.3021875,9.20372285418822
75,2,"Calcium","Abv",0.66,1.108125,-40.4399323181049
75,2,"Nitrogen","Root.0.30cm",3.25,4.388125,-25.9364762854294
75,2,"Potassium","Root.0.30cm",2.73,1.6984375,60.7359705611775
75,2,"Magnesium","Root.0.30cm",1.11,0.9275,19.6765498652291
75,2,"Calcium","Root.0.30cm",3.84,4.1471875,-7.40712832491901
