"Nutrient","Plot","NumSp","unit","0.20cm_1994","0.20cm_2017","20.40cm_2017","Bulk.Density.g.cm3_0.20cm_1994","Bulk.Density.g.cm3_0.20cm_2017","Bulk.Density.g.cm3_20.40cm_2017","bd.pred","Depth_add_cm","gm2_1994_0.20cm","gm2_2017_u","gm2_2017_add","gm2_2017_0.20cm"
"Calcium",202,16,"mgX.kgSoil",717.57,919.4,629.77,1.36,1.26,1.53,"predicted",1.30718954248366,195.17904,231.6888,12.5954,244.2842
"Calcium",205,1,"mgX.kgSoil",519.9,547.38,370.48,1.43,1.45,1.66,"measured",-0.275862068965517,148.6914,158.7402,-2.18952,156.55068
"Calcium",206,8,"mgX.kgSoil",438.54,593.63,341.04,1.41,1.24,1.6,"measured",2.125,123.66828,147.22024,11.59536,158.8156
"Calcium",208,8,"mgX.kgSoil",526.75,667.15,457.65,1.43,1.28,1.5,"measured",2,150.6505,170.7904,13.7295,184.5199
"Calcium",210,8,"mgX.kgSoil",513.04,639.37,430.24,1.44,1.33,1.61,"measured",1.36645962732919,147.75552,170.07242,9.46528,179.5377
"Calcium",211,2,"mgX.kgSoil",406.33,468.39,276.63,1.44,1.41,1.65,"predicted",0.363636363636364,117.02304,132.08598,1.65978,133.74576
"Calcium",213,8,"mgX.kgSoil",393.03,382.63,248.92,1.47,1.47,1.73,"measured",0,115.55082,112.49322,0,112.49322
"Calcium",220,16,"mgX.kgSoil",277.66,396.7,255.53,1.47,1.42,1.66,"predicted",0.602409638554217,81.63204,112.6628,2.5553,115.2181
"Calcium",223,4,"mgX.kgSoil",456.24,422.56,519.01,1.44,1.41,1.65,"predicted",0.363636363636364,131.39712,119.16192,3.11406,122.27598
"Calcium",224,2,"mgX.kgSoil",334.23,345.96,457.22,1.44,1.47,1.7,"measured",-0.408163265306122,96.25824,101.71224,-2.07576,99.63648
"Calcium",225,4,"mgX.kgSoil",402.29,470.51,336.44,1.43,1.4,1.64,"predicted",0.365853658536585,115.05494,131.7428,2.01864,133.76144
"Calcium",227,16,"mgX.kgSoil",390.78,529.43,322.51,1.44,1.33,1.68,"measured",1.30952380952381,112.54464,140.82838,7.09522,147.9236
"Calcium",229,4,"mgX.kgSoil",306.24,397.76,284.98,1.43,1.49,1.62,"measured",-0.805369127516778,87.58464,118.53248,-4.77312,113.75936
"Calcium",230,1,"mgX.kgSoil",351.37,358.41,353.88,1.44,1.5,1.72,"measured",-0.8,101.19456,107.523,-4.30092,103.22208
"Calcium",232,8,"mgX.kgSoil",532.89,773.91,416.62,1.36,1.33,1.62,"measured",0.37037037037037,144.94608,205.86006,2.49972,208.35978
"Calcium",233,4,"mgX.kgSoil",405.26,545.6,409.13,1.34,1.3,1.57,"predicted",0.509554140127389,108.60968,141.856,3.27304,145.12904
"Calcium",234,2,"mgX.kgSoil",304.45,589.25,348.67,1.41,1.32,1.58,"predicted",1.13924050632911,85.8549,155.562,6.27606,161.83806
"Calcium",235,16,"mgX.kgSoil",311.67,568.57,374.36,1.41,1.32,1.58,"predicted",1.13924050632911,87.89094,150.10248,6.73848,156.84096
"Calcium",236,2,"mgX.kgSoil",285.49,360.11,333.67,1.45,1.48,1.66,"measured",-0.405405405405405,82.7921,106.59256,-2.16066,104.4319
"Calcium",237,1,"mgX.kgSoil",410.58,426.6,443.09,1.42,1.39,1.72,"measured",0.348837209302326,116.60472,118.5948,2.65854,121.25334
"Calcium",239,16,"mgX.kgSoil",505.19,636.61,398.84,1.43,1.37,1.62,"predicted",0.740740740740741,144.48434,174.43114,4.78608,179.21722
"Calcium",242,16,"mgX.kgSoil",350.57,483.66,320.11,1.45,1.39,1.62,"measured",0.740740740740741,101.6653,134.45748,3.84132,138.2988
"Calcium",253,16,"mgX.kgSoil",366.89,583.87,360.05,1.44,1.4,1.64,"predicted",0.487804878048781,105.66432,163.4836,2.8804,166.364
"Calcium",257,16,"mgX.kgSoil",463.62,666.51,425.65,1.41,1.35,1.6,"predicted",0.75,130.74084,179.9577,5.1078,185.0655
"Calcium",259,2,"mgX.kgSoil",257.55,398.63,370.67,1.42,1.37,1.62,"predicted",0.617283950617284,73.1442,109.22462,3.7067,112.93132
"Calcium",265,1,"mgX.kgSoil",453.85,568.07,368.53,1.44,1.36,1.61,"measured",0.993788819875776,130.7088,154.51504,5.89648,160.41152
"Calcium",266,8,"mgX.kgSoil",327.35,470.19,300.26,1.42,1.34,1.61,"measured",0.993788819875776,92.9674,126.01092,4.80416,130.81508
"Calcium",267,1,"mgX.kgSoil",436,481.25,466.54,1.36,1.38,1.69,"measured",-0.289855072463768,118.592,132.825,-1.925,130.9
"Calcium",268,1,"mgX.kgSoil",537.32,580.9,551.74,1.36,1.46,1.64,"measured",-1.36986301369863,146.15104,169.6228,-11.618,158.0048
"Calcium",273,16,"mgX.kgSoil",629.59,999.15,772.22,1.28,1.17,1.47,"predicted",1.49659863945578,161.17504,233.8011,16.98884,250.78994
"Calcium",278,2,"mgX.kgSoil",436.5,447.14,357.05,1.47,1.45,1.69,"predicted",0.236686390532544,128.331,129.6706,1.4282,131.0988
"Calcium",280,1,"mgX.kgSoil",388.31,419.39,422.48,1.45,1.42,1.66,"predicted",0.36144578313253,112.6099,119.10676,2.53488,121.64164
"Calcium",282,1,"mgX.kgSoil",420.81,383.49,348.61,1.43,1.44,1.68,"predicted",-0.138888888888889,120.35166,110.44512,-0.76698,109.67814
"Calcium",283,8,"mgX.kgSoil",403.61,389.95,308.19,1.43,1.44,1.68,"predicted",-0.138888888888889,115.43246,112.3056,-0.7799,111.5257
"Calcium",286,4,"mgX.kgSoil",374.39,405.56,303.55,1.46,1.4,1.63,"measured",0.736196319018405,109.32188,113.5568,3.6426,117.1994
"Calcium",287,4,"mgX.kgSoil",321.35,352.55,253.17,1.46,1.54,1.64,"measured",-1.03896103896104,93.8342,108.5854,-5.6408,102.9446
"Calcium",290,1,"mgX.kgSoil",310.06,354.19,253.3,1.46,1.39,1.62,"measured",0.864197530864198,90.53752,98.46482,3.5462,102.01102
"Calcium",291,1,"mgX.kgSoil",293.86,321.21,230.22,1.46,1.43,1.67,"predicted",0.359281437125749,85.80712,91.86606,1.38132,93.24738
"Calcium",292,8,"mgX.kgSoil",394.95,611.27,335.1,1.42,1.39,1.64,"predicted",0.365853658536585,112.1658,169.93306,2.0106,171.94366
"Calcium",293,8,"mgX.kgSoil",474.48,631.37,388.96,1.44,1.38,1.63,"predicted",0.736196319018405,136.65024,174.25812,4.66752,178.92564
"Calcium",299,16,"mgX.kgSoil",230.29,533.73,289.35,1.45,1.25,1.57,"measured",2.54777070063694,66.7841,133.4325,11.574,145.0065
"Calcium",300,2,"mgX.kgSoil",310.57,526.5,296.45,1.46,1.41,1.6,"measured",0.625,90.68644,148.473,2.9645,151.4375
"Calcium",301,16,"mgX.kgSoil",401.92,515.34,344.2,1.45,1.34,1.65,"measured",1.33333333333333,116.5568,138.11112,7.5724,145.68352
"Calcium",302,4,"mgX.kgSoil",523.71,618.65,369.74,1.43,1.4,1.82,"measured",0.32967032967033,149.78106,173.222,2.21844,175.44044
"Calcium",303,8,"mgX.kgSoil",419.76,587.72,335.92,1.44,1.42,1.66,"predicted",0.240963855421687,120.89088,166.91248,1.34368,168.25616
"Calcium",304,2,"mgX.kgSoil",511.73,461.49,474.73,1.42,1.41,1.66,"predicted",0.120481927710843,145.33132,130.14018,0.94946,131.08964
"Calcium",307,8,"mgX.kgSoil",451.6,653.69,411.01,1.44,1.37,1.67,"measured",0.838323353293413,130.0608,179.11106,5.75414,184.8652
"Calcium",308,1,"mgX.kgSoil",379.86,476.67,351.14,1.45,1.53,1.74,"measured",-1.04575163398693,110.1594,145.86102,-7.62672,138.2343
"Calcium",311,2,"mgX.kgSoil",438.55,455.03,513.38,1.42,1.48,1.63,"measured",-0.810810810810811,124.5482,134.68888,-5.46036,129.22852
"Calcium",313,8,"mgX.kgSoil",166.84,503.25,298.36,1.52,1.43,1.67,"predicted",1.07784431137725,50.71936,143.9295,5.37048,149.29998
"Calcium",318,16,"mgX.kgSoil",340.34,565.83,257.17,1.35,1.4,1.65,"predicted",-0.714285714285714,91.8918,158.4324,-5.6583,152.7741
"Calcium",324,2,"mgX.kgSoil",429.89,446.91,376.06,1.45,1.45,1.69,"predicted",0,124.6681,129.6039,0,129.6039
"Calcium",325,4,"mgX.kgSoil",455.85,552.34,357.52,1.45,1.43,1.73,"measured",0.23121387283237,132.1965,157.96924,1.43008,159.39932
"Calcium",328,16,"mgX.kgSoil",251.49,475.63,246.27,1.47,1.31,1.54,"measured",2.07792207792208,73.93806,124.61506,7.88063999999999,132.4957
"Calcium",329,16,"mgX.kgSoil",320.55,495.06,217.92,1.45,1.34,1.58,"measured",1.39240506329114,92.9595,132.67608,4.79424,137.47032
"Calcium",330,2,"mgX.kgSoil",484.7,453.57,330.81,1.42,1.46,1.76,"measured",-0.547945205479452,137.6548,132.44244,-3.62856,128.81388
"Calcium",331,16,"mgX.kgSoil",415.89,596.38,298.61,1.43,1.35,1.57,"measured",1.01910828025478,118.94454,161.0226,4.77776,165.80036
"Calcium",334,2,"mgX.kgSoil",179.56,255.64,284.16,1.41,1.42,1.66,"predicted",-0.140845070422535,50.63592,72.60176,-0.51128,72.09048
"Calcium",335,2,"mgX.kgSoil",172.97,277.12,314.53,1.43,1.45,1.69,"predicted",-0.275862068965517,49.46942,80.3648,-1.10848,79.25632
"Calcium",336,16,"mgX.kgSoil",404.21,669.12,394.26,1.44,1.32,1.5,"measured",1.6,116.41248,176.64768,9.46224,186.10992
"Calcium",338,1,"mgX.kgSoil",332.5,433.69,342.08,1.46,1.48,1.67,"measured",-0.27027027027027,97.09,128.37224,-1.73476,126.63748
"Calcium",339,16,"mgX.kgSoil",361.33,664.03,387.97,1.45,1.41,1.62,"measured",0.493827160493827,104.7857,187.25646,3.10376,190.36022
"Calcium",342,2,"mgX.kgSoil",362.59,584.51,261.52,1.45,1.36,1.71,"measured",1.05263157894737,105.1511,158.98672,4.70736,163.69408
"Magnesium",2,1,"mgX.kgSoil",65.43,63.42,60.1,1.48,1.49,1.62,"measured",-0.134228187919463,19.36728,18.89916,-0.12684,18.77232
"Magnesium",3,4,"mgX.kgSoil",98,68.14,53.62,1.46,1.47,1.6,"measured",-0.136054421768707,28.616,20.03316,-0.13628,19.89688
"Magnesium",5,1,"mgX.kgSoil",29.38,58.34,35.74,1.47,1.46,1.61,"measured",0.124223602484472,8.63772,17.03528,0.07148,17.10676
"Magnesium",6,2,"mgX.kgSoil",31.49,48.34,31,1.48,1.46,1.69,"predicted",0.236686390532544,9.32104,14.11528,0.124,14.23928
"Magnesium",9,16,"mgX.kgSoil",30.09,71.5,39.46,1.49,1.39,1.52,"measured",1.31578947368421,8.96682,19.877,0.7892,20.6662
"Magnesium",11,1,"mgX.kgSoil",80.89,79.73,72.1,1.48,1.34,1.57,"measured",1.78343949044586,23.94344,21.36764,2.0188,23.38644
"Magnesium",12,8,"mgX.kgSoil",73.75,94.06,81.12,1.45,1.39,1.57,"measured",0.764331210191083,21.3875,26.14868,0.97344,27.12212
"Magnesium",14,2,"mgX.kgSoil",59.59,64.51,83.86,1.44,1.44,1.62,"measured",0,17.16192,18.57888,0,18.57888
"Magnesium",15,8,"mgX.kgSoil",67.39,90.42,75.82,1.46,1.44,1.68,"predicted",0.238095238095238,19.67788,26.04096,0.30328,26.34424
"Magnesium",16,1,"mgX.kgSoil",81.7,64.32,72.55,1.44,1.56,1.74,"measured",-1.53846153846154,23.5296,20.06784,-1.54368,18.52416
"Magnesium",20,1,"mgX.kgSoil",71.95,66.22,62.88,1.48,1.39,1.72,"measured",1.04651162790698,21.2972,18.40916,1.13184,19.541
"Magnesium",22,8,"mgX.kgSoil",63.98,72.21,69.33,1.49,1.48,1.71,"predicted",0.116959064327485,19.06604,21.37416,0.13866,21.51282
"Magnesium",24,4,"mgX.kgSoil",63.79,78.27,79.92,1.48,1.47,1.72,"measured",0.116279069767442,18.88184,23.01138,0.15984,23.17122
"Magnesium",26,4,"mgX.kgSoil",89.8,84.79,61.67,1.45,1.4,1.64,"predicted",0.609756097560976,26.042,23.7412,0.6167,24.3579
"Magnesium",27,16,"mgX.kgSoil",82.72,97.28,84.56,1.42,1.35,1.64,"measured",0.853658536585366,23.49248,26.2656,1.18384,27.44944
"Magnesium",28,4,"mgX.kgSoil",75.15,78.15,62.18,1.47,1.43,1.67,"predicted",0.479041916167665,22.0941,22.3509,0.49744,22.84834
"Magnesium",29,1,"mgX.kgSoil",35.68,52.64,31.61,1.46,1.45,1.69,"predicted",0.118343195266272,10.41856,15.2656,0.06322,15.32882
"Magnesium",30,16,"mgX.kgSoil",33.86,77.97,35.25,1.47,1.4,1.64,"predicted",0.853658536585366,9.95484,21.8316,0.4935,22.3251
