"Plot","NumSp","Species","Fgset","Fgset2","soil_diffgm2_0.20cm_Calcium_aa","soil_diffgm2_0.20cm_Carbon_ea","soil_diffgm2_0.20cm_CEC_aa","soil_diffgm2_0.20cm_Magnesium_aa","soil_diffgm2_0.20cm_Nitrogen_ea","soil_diffgm2_0.20cm_pH_1:1w","soil_diffgm2_0.20cm_Phosphorus_bray","soil_diffgm2_0.20cm_Potassium_aa","gm2_1994_0.20cm_Calcium_aa","gm2_1994_0.20cm_Carbon_ea","gm2_1994_0.20cm_CEC_aa","gm2_1994_0.20cm_Magnesium_aa","gm2_1994_0.20cm_Nitrogen_ea","gm2_1994_0.20cm_pH_1:1w","gm2_1994_0.20cm_Phosphorus_bray","gm2_1994_0.20cm_Potassium_aa","gm2_2017_0.20cm_Calcium_aa","gm2_2017_0.20cm_Carbon_ea","gm2_2017_0.20cm_CEC_aa","gm2_2017_0.20cm_Magnesium_aa","gm2_2017_0.20cm_Nitrogen_ea","gm2_2017_0.20cm_pH_1:1w","gm2_2017_0.20cm_Phosphorus_bray","gm2_2017_0.20cm_Potassium_aa","AbvBioAnnProd.2015.2017","Root030cm.2015.2017","TotalProd.2015.2017","Nitrogen_gm2_Abv","Phosphorus_gm2_Abv","Potassium_gm2_Abv","Magnesium_gm2_Abv","Calcium_gm2_Abv","Nitrogen_gm2_Root.0.30cm","Phosphorus_gm2_Root.0.30cm","Potassium_gm2_Root.0.30cm","Magnesium_gm2_Root.0.30cm","Calcium_gm2_Root.0.30cm","Calcium_total.soil.plant.g.m2","Magnesium_total.soil.plant.g.m2","Nitrogen_total.soil.plant.g.m2","Phosphorus_total.soil.plant.g.m2","Potassium_total.soil.plant.g.m2"
259,2,"Lesca Schsc","4L","GL",39.79,531.26,0.99,7.78,29.55,0.5,-3.2,6.61,73.14,1735.24,1.63,7.78,156.2,5,10.51,8.83,112.93,2266.5,2.62,15.56,185.75,5.5,7.3,15.44,229.86,1172.19,1402.05,2.53,0.41,2,0.39,1.72,9.73,1.17,2.23,1.29,7.5,49.01,9.46,41.81,-1.62,10.84
265,1,"Luppe","L","L",29.7,783.04,0.74,5.7,57.88,0.6,-1.89,-0.75,130.71,1500.48,3.01,22.12,144,5.5,8.93,9.66,160.41,2283.52,3.75,27.82,201.88,6.1,7.04,8.92,34.56,286.61,321.17,0.6,0.09,0.29,0.15,0.5,3.38,0.57,1.75,0.6,2.72,32.92,6.45,61.86,-1.23,1.29
266,8,"Achmi Agrsm Andge Petca Petpu Petvi Quema Schsc Sornu","34FL","GFL",37.85,107.73,0.89,5.25,-0.83,0.7,-2.7,3.59,92.97,1721.04,2.23,16.81,161.88,5.3,8.24,8.25,130.82,1828.77,3.12,22.06,161.05,6,5.54,11.84,270.5,1162.87,1433.37,2.81,0.46,2.57,0.6,2.19,9.19,0.93,2.67,1.16,6.63,46.67,7.01,11.17,-1.31,8.83
267,1,"Liaas","F","F",12.31,-199.92,0.21,1.46,-14.28,0.5,-1.36,-4.49,118.59,2371.84,2.95,20.47,209.44,5.2,9.25,11.04,130.9,2171.92,3.16,21.93,195.16,5.7,7.89,6.55,182.23,564.69,746.92,1.28,0.18,1.69,0.95,2.13,6.1,1.19,2.43,1.64,5.82,20.26,4.05,-6.9,0.00999999999999979,-0.37
268,1,"Koecr","3","G",11.85,-282.88,0.21,1.7,-34,0.6,-6.53,-4.74,146.15,2265.76,3.56,24.01,198.56,5.5,17.14,12.61,158,1982.88,3.77,25.71,164.56,6.1,10.61,7.86,100.69,251.71,352.4,1.01,0.21,0.75,0.19,0.58,3.22,0.38,0.63,0.33,2.06,14.49,2.22,-29.77,-5.94,-3.36
273,16,"Achmi Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",89.61,963.63,2.61,18.42,54.19,0.7,-0.79,12.05,161.18,3089.92,3.69,11.74,258.56,5,15.36,11.81,250.79,4053.56,6.3,30.17,312.75,5.7,14.57,23.86,701.39,1714.08,2415.47,6.17,1.47,9.61,1.19,5.47,12.34,1.89,5.31,2.23,7.71,102.79,21.84,72.7,2.57,26.97
278,2,"Elyca Sornu","34","G",2.77,182.63,-0.16,-6.25,10.67,0,-3.22,-1.64,128.33,1187.76,3.1,29.04,108.78,6,11.17,7.82,131.1,1370.39,2.94,22.79,119.45,6,7.95,6.17,75.81,457.7,533.5,0.6,0.11,0.49,0.15,0.5,4.35,0.6,1.05,0.6,2.79,6.06,-5.5,15.62,-2.51,-0.0999999999999999
280,1,"Schsc","4","G",9.03,388.09,-0.09,-7.58,19.44,0.1,-4.49,-0.96,112.61,1319.5,2.85,28.06,118.9,5.8,16.24,8.81,121.64,1707.59,2.76,20.48,138.34,5.9,11.75,7.85,66.22,852.63,918.84,0.55,0.13,0.58,0.11,0.49,6.65,1.11,1.79,1.11,4.69,14.21,-6.36,26.64,-3.25,1.41
282,1,"Sornu","4","G",-10.67,-112.97,-0.27,-1.7,-15.73,0.2,-5.15,-1.38,120.35,1547.26,2.69,16.67,143,5.8,19.45,7.93,109.68,1434.29,2.42,14.97,127.27,6,14.3,6.56,90.39,700.14,790.53,0.78,0.15,0.72,0.16,0.68,4.9,0.7,1.68,0.7,3.15,-6.84,-0.84,-10.05,-4.3,1.02
283,8,"Achmi Agrsm Andge Asctu Elyca Panvi Schsc Sornu","34F","GF",-3.91,-42.19,-0.13,-1.8,-17.87,0.3,-1.72,0.08,115.43,1544.4,2.67,19.33,145.86,5.7,15.44,6.98,111.53,1502.22,2.54,17.53,127.98,6,13.73,7.06,122.9,704.16,827.06,0.98,0.22,0.88,0.27,0.84,5.63,0.7,1.62,0.92,3.59,0.52,-0.61,-11.26,-0.8,2.58
286,4,"Lesca Poapr Schsc Sornu","34L","GL",7.88,325.51,0.16,-0.32,15.59,0.1,-5.26,2.05,109.32,1214.72,2.53,20.4,116.8,5.8,20.15,6.79,117.2,1540.23,2.69,20.08,132.39,5.9,14.89,8.85,223.48,886.66,1110.13,2.17,0.42,1.77,0.54,1.72,11.08,1.15,1.95,1.24,6.3,15.9,1.46,28.84,-3.69,5.77
287,4,"Achmi Elyca Monfi Schsc Solri","34F","GF",9.11,244.55,0.17,0.58,6.57,0.5,-6.42,1.05,93.83,1232.24,2.18,17.31,119.72,5.6,17.81,6.13,102.94,1476.79,2.35,17.88,126.29,6.1,11.39,7.18,108.47,626.46,734.93,0.82,0.16,1.41,0.34,1.39,5.95,0.75,2,1,4.76,15.26,1.92,13.34,-5.51,4.46
290,1,"Monfi Solri","F","F",11.47,411.89,0.35,5.47,28.98,0.5,-4.31,-1.33,90.54,1241,2.04,13.29,116.8,5.5,17.81,8.81,102.01,1652.89,2.39,18.76,145.78,6,13.5,7.47,108.36,238.51,346.86,0.93,0.17,1.64,0.4,1.54,2.81,0.26,0.55,0.57,3.89,16.9,6.44,32.72,-3.88,0.86
291,1,"Petpu","L","L",7.44,375.83,0.04,-1.46,31.19,0.3,-6.69,-5.48,85.81,1243.92,2.06,16.75,113.88,5.6,19.27,10.39,93.25,1619.75,2.1,15.29,145.07,5.9,12.58,4.91,120.65,324.6,445.25,2.57,0.33,0.78,0.43,1.98,4.77,0.55,0.58,0.45,3.31,12.73,-0.58,38.53,-5.81,-4.12
292,8,"Andge Elyca Koecr Lesca Luppe Petca Petvi Poapr Sornu","34L","GL",59.78,267.73,1.42,10.28,12.35,1,-6.83,5.55,112.17,1746.6,2.65,19.29,156.2,5.5,17.89,9.78,171.94,2014.33,4.07,29.57,168.55,6.5,11.06,15.32,317.82,1603.06,1920.88,2.86,0.7,3.24,0.7,2.86,13.79,1.76,4.65,1.92,19.24,81.88,12.9,29,-4.37,13.44
293,8,"Andge Asctu Lesca Luppe Petpu Queel Quema Schsc","4FL","GFL",42.28,632.64,0.92,2.1,42.18,0.5,-5.83,8.19,136.65,1509.12,3.26,27.73,138.24,5.8,12.67,7.36,178.93,2141.76,4.18,29.83,180.42,6.3,6.84,15.55,313.68,1111.91,1425.59,3.23,0.72,3.39,0.69,2.51,8.78,1,3.22,1.11,4.34,49.13,3.9,54.19,-4.11,14.8
299,16,"Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Quema Schsc Solri Sornu","34FL","GFL",78.22,689.35,2.04,14.57,52.48,1.2,-4.39,8.22,66.78,1351.4,1.48,7.86,121.8,4.9,12.76,6.37,145.01,2040.75,3.52,22.43,174.28,6.1,8.37,14.58,328.6,1040.89,1369.49,3.25,0.56,4.17,0.72,2.76,9.68,1.14,3.64,1.14,5.72,86.7,16.43,65.41,-2.69,16.03
300,2,"Luppe Panvi","4L","GL",60.75,682.58,1.46,12.38,57.34,1,-5.56,5.85,90.69,1203.04,1.97,10.82,110.96,5.3,14.31,8.59,151.44,1885.62,3.43,23.21,168.3,6.3,8.75,14.44,265,1107.36,1372.36,2.28,0.5,2.68,0.45,1.75,8.86,1.33,3.99,1.44,6.64,69.14,14.27,68.48,-3.73,12.52
301,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Poapr Quema Schsc Solri Sornu","34FL","GFL",29.13,281.76,0.77,6.43,18.51,0.3,-2.97,2.85,116.56,1319.5,2.67,19.16,121.8,5.8,10.15,8.9,145.68,1601.26,3.44,25.6,140.31,6.1,7.18,11.75,273.38,1027.51,1300.89,2.21,0.38,3.34,0.71,2.73,11.41,1.64,3.49,2.06,8.32,40.18,9.2,32.13,-0.95,9.68
302,4,"Liaas Luppe Monfi Quema Solri","FL","FL",25.66,271.66,0.5,0.42,25.52,0.4,-6.52,2.83,149.78,1558.7,3.56,29.24,134.42,5.9,17.73,7.43,175.44,1830.37,4.06,29.66,159.94,6.3,11.21,10.26,248.08,561.37,809.45,2.01,0.4,4.04,0.84,3.23,6.96,0.95,3.2,1.12,5.5,34.39,2.38,34.49,-5.17,10.07
303,8,"Achmi Agrsm Koecr Liaas Luppe Monfi Petca Petvi Poapr Solri","3FL","GFL",47.37,262.25,1.14,8.4,30.25,0.7,-1.18,7.89,120.89,1500.48,2.79,21.18,135.36,5.7,12.96,6.59,168.26,1762.73,3.93,29.58,165.61,6.4,11.78,14.48,325.51,919.24,1244.74,3.12,0.59,3.81,0.68,2.41,12.87,1.2,2.94,1.56,11.49,61.27,10.64,46.24,0.61,14.64
304,2,"Agrsm Koecr","3","G",-14.24,34.85,-0.22,1.22,5.49,0.3,-0.58,0.3,145.33,1746.6,3.27,21.44,159.04,5.6,6.53,6.11,131.09,1781.45,3.05,22.66,164.54,5.9,5.96,6.41,89.44,322.31,411.75,0.83,0.19,0.75,0.17,0.53,3.26,0.39,0.77,0.39,1.8,-11.91,1.78,9.58,1.11022302462516e-16,1.82
307,8,"Asctu Luppe Monfi Panvi Petpu Queel Quema Schsc Solri","4FL","GFL",54.8,603.88,1.3,8.66,46.94,0.7,-5.39,4.09,130.06,1457.28,2.9,19.22,132.48,5.5,12.67,6.77,184.87,2061.16,4.2,27.87,179.42,6.2,7.28,10.86,257.02,1121.45,1378.47,2.67,0.49,3.34,0.59,2.72,11.44,1.57,4.37,1.68,23.33,80.85,10.93,61.05,-3.33,11.8
308,1,"Asctu","F","F",28.07,-59.45,0.62,5.89,2.9,0.5,-2.9,-2.42,110.16,1351.4,2.44,15.37,121.8,5.6,13.92,8.1,138.23,1291.95,3.06,21.26,124.7,6.1,11.02,5.68,38.74,216.71,255.45,0.39,0.09,0.36,0.1,0.26,2.95,0.39,0.63,0.37,1.91,30.24,6.36,6.24,-2.42,-1.43
311,2,"Koecr Panvi","34","G",4.68,223.65,0.25,5.56,7.1,0.2,-1.42,1.88,124.55,1746.6,2.56,9.61,159.04,5.3,7.38,5.72,129.23,1970.25,2.81,15.17,166.14,5.5,5.96,7.6,165.67,806.96,972.63,1.26,0.2,1.21,0.22,0.88,6.54,0.81,1.94,1.05,3.95,9.51,6.83,14.9,-0.41,5.03
313,8,"Achmi Koecr Lesca Liaas Luppe Petca Petpu Petvi Quema","3FL","GFL",98.58,1043.87,2.08,12.65,89.5,1.1,-1.97,5.95,50.72,595.84,1.09,5.88,63.84,4.8,7.3,6.53,149.3,1639.71,3.17,18.53,153.34,5.9,5.33,12.48,332.6,867.46,1200.06,3.79,0.5,3.56,0.76,3.16,12.06,1.13,3.04,1.47,9.11,110.85,14.88,105.35,-0.34,12.55
318,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Luppe Monfi Panvi Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",60.88,-606.15,1.33,5.73,-27,0.7,-6.48,6.21,91.89,2411.1,2.35,17.59,183.6,5.7,18.09,6.68,152.77,1804.95,3.68,23.31,156.6,6.4,11.61,12.89,324.02,944.18,1268.2,3.27,0.58,3.47,0.75,2.79,10.29,1.04,3.12,1.51,6.99,70.66,7.99,-13.44,-4.86,12.8
324,2,"Elyca Poapr","3","G",4.94,-58.73,0.02,-1.35,5.8,0.3,-4.06,-1.54,124.67,1418.1,2.84,21.24,121.8,5.8,14.21,6.78,129.6,1359.37,2.86,19.89,127.6,6.1,10.15,5.24,41.66,225.62,267.27,0.42,0.12,0.35,0.11,0.24,2.1,0.32,0.63,0.27,1.02,6.2,-0.97,8.32,-3.62,-0.56
325,4,"Koecr Monfi Panvi Petpu Solri","34FL","GFL",27.2,353.1,0.55,2.45,41.12,0.3,-3.47,0.69,132.2,1342.7,2.99,21.45,118.9,5.9,12.76,8,159.4,1695.8,3.54,23.9,160.02,6.2,9.29,8.7,272.24,618.58,890.82,3.1,0.63,3.81,0.84,3.54,7.18,0.87,1.86,1.05,11.26,42,4.34,51.4,-1.97,6.36
328,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Quema Schsc Solri","34FL","GFL",58.56,847.53,1.34,6.83,69.89,0.8,-2.51,4.19,73.94,1190.7,1.74,14.04,111.72,5.6,12.94,6.23,132.5,2038.23,3.08,20.88,181.61,6.4,10.43,10.42,326.84,1255.11,1581.95,3.27,0.59,4.18,0.92,2.97,12.17,1.38,5.02,2.01,8.53,70.06,9.76,85.33,-0.54,13.39
329,16,"Achmi Agrsm Amoca Andge Elyca Koecr Lesca Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",44.51,556.8,1.11,5.77,44.83,0.9,-3.92,6.36,92.96,1423.9,2.21,18.41,127.6,5.6,13.63,6.12,137.47,1980.7,3.32,24.18,172.44,6.5,9.71,12.48,321.35,1131.84,1453.19,3.02,0.51,3.86,0.77,2.64,11.21,1.02,2.94,1.36,7.47,54.62,7.9,59.06,-2.39,13.16
330,2,"Andge Liaas","4F","GF",-8.84,-237.14,-0.34,-6.38,-19.88,0.3,0.28,0.66,137.65,1692.64,3.33,28.46,153.36,5.8,6.53,5.25,128.81,1455.5,2.99,22.08,133.48,6.1,6.82,5.91,170.02,587.08,757.11,1.22,0.17,1.56,0.71,1.75,2.64,0.59,2.64,1.12,3.64,-3.45,-4.55,-16.02,1.04,4.86
331,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri","34FL","GFL",46.86,598.72,1.07,4.71,49.38,0.5,-2.89,5.07,118.94,1638.78,2.88,24.06,148.72,5.9,7.44,7.48,165.8,2237.5,3.95,28.77,198.1,6.4,4.54,12.55,387.93,1291.47,1679.4,3.69,0.58,4.93,1.12,4.34,14.59,1.55,4.52,1.94,17.43,68.63,7.77,67.66,-0.76,14.52
334,2,"Elyca Sornu","34","G",21.45,-183.3,0.53,5.75,-27.5,0.5,-3.1,0.32,50.64,1855.56,1.2,6.37,166.38,5,8.18,7.02,72.09,1672.26,1.73,12.13,138.88,5.5,5.08,7.35,88.48,650.8,739.28,0.65,0.12,0.88,0.11,0.55,4.56,0.72,1.5,0.65,2.54,24.54,6.51,-22.29,-2.26,2.7
335,2,"Koecr Petca Petvi","3L","GL",29.79,-268.84,0.68,5.99,-32.18,0.7,-1.43,1.82,49.47,1621.62,1.15,6.18,160.16,4.9,6.58,6.07,79.26,1352.78,1.83,12.18,127.98,5.6,5.15,7.89,263.53,430.65,694.18,3.82,0.4,1.77,0.45,2.27,5.86,0.56,1.34,0.73,3.88,35.94,7.17,-22.5,-0.47,4.93
336,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Queel Quema Schsc Solri Sornu","34FL","GFL",69.7,607.26,1.87,15.47,40.86,1,-1.03,9.59,116.41,1468.8,2.39,9.64,138.24,5.3,5.18,5.94,186.11,2076.06,4.26,25.11,179.1,6.3,4.15,15.53,359.38,1224.67,1584.06,2.59,0.54,4.49,0.86,3.67,12,1.35,3.8,1.59,8.57,81.94,17.92,55.45,0.86,17.88
338,1,"Monfi Solri","F","F",29.55,233.6,0.71,7.35,18.25,0.5,-1.46,-0.15,97.09,1290.64,2.07,10.61,125.56,5.3,11.1,8.22,126.64,1524.24,2.78,17.96,143.81,5.8,9.64,8.08,134.35,268.59,402.94,1.38,0.3,2.16,0.55,2.4,2.74,0.4,2.01,0.64,4,35.95,8.54,22.37,-0.76,4.02
339,16,"Achmi Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri","34FL","GFL",85.57,560.23,1.91,11.59,44.4,0.5,-2.59,7.14,104.79,1374.6,2.42,18.49,127.6,5.6,11.89,7.04,190.36,1934.83,4.33,30.07,172,6.1,9.3,14.18,337.08,1207.41,1544.49,2.73,0.64,4.79,0.81,4.01,9.66,1.33,4.35,1.45,7,96.58,13.85,56.79,-0.62,16.28
342,2,"Luppe Monfi Solri","FL","FL",58.54,344.79,1.51,10.88,27.31,0.6,-2.14,8.28,105.15,1400.7,2.42,18.23,136.3,5.6,9.28,7.07,163.69,1745.49,3.93,29.11,163.61,6.2,7.14,15.35,303.03,661.99,965.02,2.39,0.52,5.09,0.94,3.55,7.22,0.99,3.57,1.52,5.83,67.92,13.34,36.92,-0.63,16.94
